TS	ACTIVE	DATA	DATA_WSTB	ERROR
1	0	0	0	0
12504	1	0	0	0
12505	1	0	0	0
12506	1	0	0	0
12509	0	0	0	0
12510	0	0	0	0
25013	1	0	0	0
25014	1	0	0	0
25015	1	0	0	0
25016	0	0	0	0
25017	0	0	0	0
37519	0	0	0	0
37520	0	0	0	0
37521	0	0	0	0
37522	0	0	0	0
37523	0	0	0	0
37524	0	0	0	0
37527	1	0	0	0
37528	1	0	0	0
37529	1	2	1	0
37530	1	0	1	0
37531	1	0	0	0
37533	1	6	1	0
37534	1	0	1	0
37535	1	0	0	0
37537	0	0	0	0
37538	0	0	0	0
50040	0	0	0	0
50041	0	0	0	0
50042	0	0	0	0
50043	0	0	0	0
50044	0	0	0	0
50045	0	0	0	0
50046	0	0	0	0
50047	0	0	0	0
50048	1	0	0	0
50049	1	0	0	0
50050	1	2	1	0
50051	1	0	1	0
50052	1	0	1	0
50053	1	0	0	0
50054	1	6	1	0
50055	1	0	1	0
50056	0	0	0	1
50058	0	0	0	1
50059	0	0	0	0
62561	0	0	0	0
62562	0	0	0	0
62563	0	0	0	0
62564	0	0	0	0
62569	1	0	0	0
62570	1	0	0	0
62571	1	0	0	0
62572	1	0	1	0
62573	1	0	0	0
62574	1	100	1	0
62575	1	100	0	0
62577	1	50	1	0
62578	1	50	0	0
62581	0	50	0	0
62582	0	0	0	0
75084	0	0	0	0
75085	0	0	0	0
75086	0	0	0	0
75087	0	0	0	0
75092	1	0	0	0
75093	1	0	0	0
75094	1	0	0	0
75095	1	0	1	0
75096	1	0	0	0
75097	1	4	1	0
75098	1	4	0	0
75100	1	20	1	0
75101	1	20	0	0
75103	1	16	1	0
75104	0	16	0	0
75105	0	0	0	0
87607	0	0	0	0
87608	0	0	0	0
87609	0	0	0	0
87610	0	0	0	0
87615	1	0	0	0
87616	1	0	0	0
87617	1	0	0	0
87618	1	0	1	0
87619	1	0	0	0
87620	1	64	1	0
87621	1	64	0	0
87623	1	320	1	0
87624	1	320	0	0
87626	1	256	1	0
87627	1	256	0	0
87629	0	256	0	0
87630	0	0	0	0
100132	0	0	0	0
100133	0	0	0	0
100134	0	0	0	0
100135	0	0	0	0
100136	0	0	0	0
100137	0	0	0	0
100140	1	0	0	0
100141	1	0	0	0
100142	1	0	0	0
100143	1	4	1	0
100144	1	0	1	0
100145	1	0	1	0
100146	1	0	1	0
100147	1	4	1	0
100148	1	64	1	0
100149	1	0	1	0
100150	1	0	1	0
100151	1	4	1	0
100152	1	64	1	0
100153	1	0	1	0
100154	1	2	1	0
100155	1	4	1	0
100156	1	64	1	0
100157	1	4	1	0
100158	1	2	1	0
100159	0	0	0	0
112661	0	0	0	0
112662	0	0	0	0
112663	0	0	0	0
112664	0	0	0	0
112665	0	0	0	0
112666	0	0	0	0
112669	1	0	0	0
112670	1	0	0	0
112671	1	0	0	0
112672	1	0	0	0
112673	1	0	0	0
112674	1	0	0	0
112675	1	10	1	0
112676	1	10	0	0
112677	1	10	0	0
112678	1	10	0	0
112679	1	10	0	0
112680	1	10	0	0
112681	1	10	0	0
112682	1	10	0	0
112684	1	5	1	0
112685	0	5	0	0
112686	0	0	0	0
125188	0	0	0	0
125189	0	0	0	0
125190	0	0	0	0
125191	0	0	0	0
125192	0	0	0	0
125193	0	0	0	0
125196	1	0	0	0
125197	1	0	0	0
125198	0	0	0	0
125199	0	0	0	0
125200	0	0	0	0
125201	0	0	0	0
137703	0	0	0	0
137704	0	0	0	0
137705	0	0	0	0
137706	0	0	0	0
137707	0	0	0	0
137708	0	0	0	0
137711	1	0	0	0
137712	1	0	0	0
137713	1	0	0	0
137714	1	0	0	0
137715	1	0	0	0
137716	1	0	0	0
137717	0	0	0	0
137718	0	0	0	0
137719	0	0	0	0
150221	0	0	0	0
150222	0	0	0	0
150223	0	0	0	0
150224	0	0	0	0
150225	0	0	0	0
150226	0	0	0	0
150227	0	0	0	0
150229	1	0	0	0
150230	1	0	0	0
150231	1	0	0	0
150232	1	0	0	0
150233	1	0	0	0
150234	1	0	0	0
150235	1	15	1	0
150236	1	15	0	0
150237	1	15	0	0
150238	1	15	0	0
150239	1	15	0	0
150240	1	15	0	0
150241	1	15	0	0
150242	1	15	0	0
150244	1	32	1	0
150245	0	32	0	0
150246	0	0	0	0
162748	0	0	0	0
162749	0	0	0	0
162750	0	0	0	0
162751	0	0	0	0
162752	0	0	0	0
162753	0	0	0	0
162756	1	0	0	0
162757	1	0	0	0
162758	1	0	0	0
162759	1	0	0	0
162760	1	0	0	0
162762	1	1	1	0
162763	1	1	0	0
162765	1	1	0	0
162766	1	1	0	0
162768	1	1	0	0
162769	1	1	0	0
162771	1	3	1	0
162772	0	3	0	0
