TS	SIM_RESET	ENABLE	INP
0	1	0	0
12503	0	0	0
12504	0	0	0
12505	0	0	0
12506	0	0	0
12507	0	0	0
12510	0	1	0
12511	0	1	0
12512	0	1	1
12513	0	1	2
12514	0	1	3
12515	0	1	4
12516	0	1	5
12517	0	1	6
12518	0	1	7
12523	0	1	8
12526	0	1	9
12533	0	1	10
12536	0	1	11
12543	0	1	12
12546	0	1	13
12547	1	0	0
25049	0	0	10
25050	0	0	10
25051	0	0	10
25052	0	0	10
25053	0	0	10
25054	0	0	10
25057	0	1	10
25058	0	1	10
25059	0	1	9
25060	0	1	8
25061	0	1	7
25062	0	1	6
25063	0	1	5
25064	0	1	4
25065	0	1	3
25066	1	0	0
37568	0	0	10
37569	0	0	10
37570	0	0	10
37571	0	0	10
37572	0	0	10
37573	0	0	10
37574	0	0	10
37576	0	1	10
37577	0	1	10
37578	0	1	9
37579	0	1	8
37580	0	1	7
37581	0	1	6
37582	0	1	5
37583	0	1	4
37584	0	1	3
37586	0	1	2
37587	0	1	1
37588	0	1	0
37589	1	0	0
50091	0	0	10
50092	0	0	10
50093	0	0	10
50094	0	0	10
50095	0	0	10
50096	0	0	10
50097	0	0	10
50099	0	1	10
50101	0	1	9
50102	0	1	8
50103	0	1	7
50104	0	1	6
50105	0	1	5
50107	0	0	4
50108	1	0	0
62610	0	0	10
62611	0	0	10
62612	0	0	10
62613	0	0	10
62614	0	0	10
62615	0	0	10
62616	0	0	10
62618	0	1	10
62620	0	1	9
62621	0	1	8
62622	0	1	7
62623	0	1	6
62624	0	0	5
62625	0	0	4
62626	0	0	3
62627	1	0	0
75130	0	0	0
75131	0	0	0
75132	0	0	0
75133	0	0	0
75134	0	0	0
75135	0	0	0
75137	0	0	11
75141	0	0	11
75142	0	1	11
75143	0	1	10
75144	0	1	9
75145	0	1	8
75146	0	1	7
75147	0	1	6
75150	0	1	5
75152	0	1	4
75154	0	1	5
75155	0	1	6
75156	0	1	3
75157	0	1	4
75158	0	1	0
75170	0	1	5
75171	0	1	6
75172	0	1	7
75173	0	1	8
75174	0	1	9
75175	0	1	10
75176	0	1	11
75177	0	1	12
75178	1	0	0
87681	0	0	0
87682	0	0	0
87683	0	0	0
87684	0	0	0
87685	0	0	0
87686	0	0	0
87688	0	1	0
87692	0	1	0
87693	0	1	11
87694	1	0	0
100197	0	0	0
100198	0	0	0
100199	0	0	0
100200	0	0	0
100201	0	0	0
100204	0	1	0
100208	0	1	0
100221	0	1	1
100222	0	1	2
100223	0	1	3
100224	0	1	4
100225	0	1	0
100237	0	1	5
100241	0	1	10
100243	0	1	11
100244	0	1	12
100245	1	0	0
112748	0	0	0
112749	0	0	0
112750	0	0	0
112751	0	0	0
112752	0	0	0
112753	0	0	0
112754	0	0	5
112755	0	1	5
112760	0	1	1
112762	0	1	5
112764	0	1	10
112766	0	1	15
112768	0	1	20
112770	0	1	25
112772	0	1	26
112774	0	1	27
112776	0	1	28
112778	0	1	29
112780	0	1	30
112782	0	1	31
112784	0	1	35
112786	0	1	40
112788	0	1	45
112789	1	0	0
125292	0	0	0
125293	0	0	0
125294	0	0	0
125295	0	0	0
125296	0	0	0
125297	0	0	0
125299	0	1	0
125304	0	1	1
125306	0	1	5
125308	0	1	10
125310	0	1	15
125312	0	1	20
125314	0	1	25
125316	0	1	30
125318	0	1	35
125320	0	1	40
125322	0	1	45
125324	0	1	50
125325	0	1	55
125326	1	0	0
137829	0	0	0
137830	0	0	0
137831	0	0	0
137832	0	0	0
137833	0	0	0
137834	0	0	0
137836	0	1	0
137841	0	1	25
137843	0	1	20
137845	0	1	15
137847	0	1	10
137849	0	1	5
137851	0	1	1
