TS	ACTIVE	OUT
1	0	0
12504	0	0
12505	0	0
12506	0	0
12507	0	0
12508	0	0
12511	1	0
12512	1	0
12513	1	0
12514	1	0
12515	1	0
12516	1	0
12517	1	1
12518	1	1
12519	1	0
12524	1	1
12527	1	1
12534	1	0
12537	1	1
12544	1	1
12547	0	0
12548	0	0
25050	0	0
25051	0	0
25052	0	0
25053	0	0
25054	0	0
25055	0	0
25058	1	0
25059	1	0
25060	1	0
25061	1	0
25062	1	0
25063	1	0
25064	1	0
25065	1	0
25066	1	0
25067	0	0
37569	0	0
37570	0	0
37571	0	0
37572	0	0
37573	0	0
37574	0	0
37575	0	0
37577	1	0
37578	1	0
37579	1	0
37580	1	0
37581	1	0
37582	1	0
37583	1	1
37584	1	1
37585	1	0
37587	1	1
37588	1	1
37589	0	0
37590	0	0
50092	0	0
50093	0	0
50094	0	0
50095	0	0
50096	0	0
50097	0	0
50098	0	0
50100	1	0
50102	1	0
50103	1	0
50104	1	0
50105	1	0
50106	1	1
50108	0	0
50109	0	0
62611	0	0
62612	0	0
62613	0	0
62614	0	0
62615	0	0
62616	0	0
62617	0	0
62619	1	0
62621	1	0
62622	1	0
62623	1	0
62624	1	0
62625	0	0
62626	0	0
62627	0	0
62628	0	0
75131	0	0
75132	0	0
75133	0	0
75134	0	0
75135	0	0
75136	0	0
75138	0	0
75142	0	0
75143	1	0
75144	1	0
75145	1	0
75146	1	0
75147	1	0
75148	1	0
75151	1	0
75153	1	0
75155	1	0
75156	1	0
75157	1	0
75158	1	0
75159	1	0
75171	1	1
75172	1	1
75173	1	1
75174	1	0
75175	1	1
75176	1	1
75177	1	1
75178	1	0
75179	0	0
87682	0	0
87683	0	0
87684	0	0
87685	0	0
87686	0	0
87687	0	0
87689	1	0
87693	1	0
87694	0	0
87695	0	0
100198	0	0
100199	0	0
100200	0	0
100201	0	0
100202	0	0
100205	1	0
100209	1	0
100222	1	0
100223	1	0
100224	1	0
100225	1	0
100226	1	0
100238	1	1
100242	0	0
100244	0	0
100245	0	0
100246	0	0
112749	0	0
112750	0	0
112751	0	0
112752	0	0
112753	0	0
112754	0	0
112755	0	0
112756	1	0
112761	1	0
112763	1	1
112765	1	0
112767	1	1
112769	1	0
112771	1	0
112773	1	1
112775	1	1
112777	1	0
112779	1	1
112781	1	1
112783	1	0
112785	1	1
112787	1	0
112789	0	0
112790	0	0
125293	0	0
125294	0	0
125295	0	0
125296	0	0
125297	0	0
125298	0	0
125300	1	0
125305	1	0
125307	1	1
125309	1	0
125311	1	1
125313	1	0
125315	1	0
125317	1	0
125319	1	1
125321	1	0
125323	1	1
125325	1	0
125326	0	0
125327	0	0
137830	0	0
137831	0	0
137832	0	0
137833	0	0
137834	0	0
137835	0	0
137837	1	0
137842	1	0
137844	1	1
137846	1	0
137848	1	1
137850	1	0
137852	1	0
