TS	ERROR
1	0
12504	0
12505	0
12506	0
12507	0
12508	0
12511	0
12512	0
12513	0
12514	0
12515	0
12516	0
12517	0
12518	0
12519	0
12524	0
12527	0
12534	0
12537	0
12544	0
12547	0
12548	0
25050	0
25051	0
25052	0
25053	0
25054	0
25055	0
25058	0
25059	0
25060	0
25061	0
25062	0
25063	0
25064	0
25065	0
25066	0
25067	0
37569	0
37570	0
37571	0
37572	0
37573	0
37574	0
37575	0
37577	0
37578	0
37579	0
37580	0
37581	0
37582	0
37583	0
37584	0
37585	0
37587	0
37588	0
37589	0
37590	0
50092	0
50093	0
50094	0
50095	0
50096	0
50097	0
50098	0
50100	0
50102	0
50103	0
50104	0
50105	0
50106	0
50108	0
50109	0
62611	0
62612	0
62613	0
62614	0
62615	0
62616	0
62617	0
62619	0
62621	0
62622	0
62623	0
62624	0
62625	0
62626	0
62627	0
62628	0
75131	0
75132	0
75133	0
75134	0
75135	0
75136	0
75138	0
75142	0
75143	0
75144	0
75145	0
75146	0
75147	0
75148	0
75151	0
75153	0
75155	0
75156	0
75157	0
75158	0
75159	0
75171	0
75172	0
75173	0
75174	0
75175	0
75176	0
75177	0
75178	0
75179	0
87682	0
87683	0
87684	0
87685	0
87686	0
87687	0
87689	0
87693	0
87694	1
87695	0
100198	0
100199	0
100200	0
100201	0
100202	0
100205	0
100209	0
100222	0
100223	0
100224	0
100225	0
100226	0
100238	0
100242	1
100244	1
100245	1
100246	0
112749	0
112750	0
112751	0
112752	0
112753	0
112754	0
112755	0
112756	0
112761	0
112763	0
112765	0
112767	0
112769	0
112771	0
112773	0
112775	0
112777	0
112779	0
112781	0
112783	0
112785	0
112787	0
112789	0
112790	0
125293	0
125294	0
125295	0
125296	0
125297	0
125298	0
125300	0
125305	0
125307	0
125309	0
125311	0
125313	0
125315	0
125317	0
125319	0
125321	0
125323	0
125325	0
125326	0
125327	0
137830	0
137831	0
137832	0
137833	0
137834	0
137835	0
137837	0
137842	0
137844	0
137846	0
137848	0
137850	0
137852	0
