TS	SIM_RESET	INP	RESET
0	1	0	0
11	0	0	0
12	0	0	0
17	0	1	0
18	0	0	0
22	0	0	0
22	1	0	0
33	0	0	0
34	0	0	0
39	0	1	0
42	0	0	0
49	0	0	0
52	0	0	0
52	1	0	0
63	0	0	0
64	0	0	0
69	0	1	0
70	0	0	0
79	0	0	0
89	0	0	0
89	1	0	0
100	0	0	0
101	0	0	0
106	0	1	0
107	0	0	0
107	1	0	0
118	0	0	0
119	0	0	0
131	0	1	0
133	0	0	0
140	0	1	0
141	0	1	0
145	0	0	0
146	0	0	0
150	0	0	0
155	0	0	0
155	1	0	0
166	0	0	0
167	0	0	0
179	0	1	0
181	0	0	0
185	0	1	0
188	0	0	0
189	0	0	0
192	0	1	0
194	0	1	0
198	0	0	0
202	0	0	0
207	0	0	0
211	0	0	0
212	0	0	0
