TS	DELAY	WIDTH	FORCE_RESET
0	0	0	0
11	0	5	0
12	0	5	0
17	0	5	0
18	0	5	0
22	0	5	0
22	0	0	0
33	0	0	0
34	10	0	0
39	10	0	0
42	10	0	0
49	10	0	0
52	10	0	0
52	0	0	0
63	0	10	0
64	10	10	0
69	10	10	0
70	10	10	0
79	10	10	0
89	10	10	0
89	0	0	0
100	0	0	0
101	0	0	0
106	0	0	0
107	0	0	0
107	0	0	0
118	0	5	0
119	10	5	0
131	10	5	0
133	10	5	0
140	10	5	0
141	10	5	0
145	10	5	0
146	10	5	0
150	10	5	0
155	10	5	0
155	0	0	0
166	0	5	0
167	10	5	0
179	10	5	0
181	10	5	0
185	10	5	0
188	10	5	0
189	10	5	0
192	10	5	0
194	10	5	0
198	10	5	0
202	10	5	0
207	10	5	0
211	10	5	1
212	10	5	0
