TS	OUTA	OUTB	OUTC	OUTD	OUTE	OUTF	ACTIVE
1	0	0	0	0	0	0	0
12504	0	0	0	0	0	0	0
12505	0	0	0	0	0	0	0
12506	0	0	0	0	0	0	0
12507	0	0	0	0	0	0	0
12509	0	0	0	0	0	0	0
12510	0	0	0	0	0	0	0
12511	0	0	0	0	0	0	0
12512	0	0	0	0	0	0	0
12513	0	0	0	0	0	0	0
12517	0	0	0	0	0	0	0
12518	0	0	0	0	0	0	0
12519	0	0	0	0	0	0	0
12520	0	0	0	0	0	0	0
12521	0	0	0	0	0	0	0
12527	0	0	0	0	0	0	0
12528	0	0	0	0	0	0	0
12531	0	0	0	0	0	0	1
12536	1	1	1	0	0	0	1
12540	0	0	0	1	1	1	1
12542	1	1	1	0	0	0	1
12546	0	0	0	1	1	1	1
12556	0	0	1	1	0	0	1
12564	1	1	0	0	1	1	1
12572	0	0	1	1	0	0	1
12580	1	1	0	0	1	1	1
12588	1	1	1	0	0	0	1
12592	0	0	0	1	1	1	1
12594	1	1	1	0	0	0	1
12598	0	0	0	1	1	1	1
12601	0	0	1	1	0	0	1
12609	1	1	0	0	1	1	1
12617	0	0	1	1	0	0	1
12625	1	1	0	0	1	1	1
12633	0	0	0	0	0	0	0
12634	0	0	0	0	0	0	0
25135	0	0	0	0	0	0	0
25136	0	0	0	0	0	0	0
25137	0	0	0	0	0	0	0
25138	0	0	0	0	0	0	0
25139	0	0	0	0	0	0	0
25140	0	0	0	0	0	0	0
25141	0	0	0	0	0	0	0
25142	0	0	0	0	0	0	0
25143	0	0	0	0	0	0	0
25144	0	0	0	0	0	0	0
25145	0	0	0	0	0	0	0
25146	0	0	0	0	0	0	0
25151	0	0	0	0	0	0	1
25158	1	0	0	0	0	0	1
25162	1	1	1	1	1	1	1
25164	0	0	0	0	0	0	0
25165	0	0	0	0	0	0	0
37666	0	0	0	0	0	0	0
37667	0	0	0	0	0	0	0
37668	0	0	0	0	0	0	0
37669	0	0	0	0	0	0	0
37670	0	0	0	0	0	0	0
37671	0	0	0	0	0	0	0
37672	0	0	0	0	0	0	0
37673	0	0	0	0	0	0	0
37674	0	0	0	0	0	0	0
37675	0	0	0	0	0	0	0
37680	0	0	0	0	0	0	1
37690	1	0	0	0	0	0	1
37694	1	1	1	1	1	1	1
37696	0	0	0	0	0	0	0
37702	0	0	0	0	0	0	0
37703	0	0	0	0	0	0	0
37705	0	0	0	0	0	0	0
37706	0	0	0	0	0	0	0
50208	0	0	0	0	0	0	0
50209	0	0	0	0	0	0	0
50210	0	0	0	0	0	0	0
50211	0	0	0	0	0	0	0
50212	0	0	0	0	0	0	0
50213	0	0	0	0	0	0	0
50214	0	0	0	0	0	0	0
50215	0	0	0	0	0	0	0
50216	0	0	0	0	0	0	0
50217	0	0	0	0	0	0	0
50222	0	0	0	0	0	0	1
50231	1	0	0	0	0	0	1
