TS	SIM_RESET	INPA	INPB	INPC	INPD	INPE
0	1	0	0	0	0	0
11	0	0	0	0	0	0
15	0	1	1	1	1	1
18	0	0	1	1	1	1
20	0	0	0	0	0	0
20	1	0	0	0	0	0
31	0	0	0	0	0	0
35	0	1	1	1	1	1
38	0	0	1	1	1	1
40	0	0	0	0	0	0
41	0	1	0	0	0	0
41	1	0	0	0	0	0
52	0	0	0	0	0	0
54	0	0	0	0	0	1
56	0	1	0	0	0	1
57	0	0	1	1	1	1
58	0	1	0	1	1	1
59	0	0	0	0	1	1
60	0	1	0	0	1	1
62	0	1	0	0	0	1
64	0	1	1	0	0	0
66	0	1	0	0	1	0
68	0	1	0	0	0	0
71	0	0	0	0	0	0
71	1	0	0	0	0	0
82	0	0	0	0	0	0
86	0	1	1	0	0	0
87	0	0	0	0	0	0
89	0	0	0	1	0	0
90	0	0	0	0	0	0
92	0	0	0	0	1	0
93	0	0	0	0	0	0
96	0	1	1	1	1	0
99	0	1	1	1	0	0
101	0	0	0	0	0	0
101	1	0	0	0	0	0
112	0	0	0	0	0	0
116	0	0	0	0	1	1
117	0	0	0	1	1	1
121	0	1	0	1	1	1
122	0	1	1	1	1	1
123	0	0	0	0	0	0
123	1	0	0	0	0	0
134	0	0	0	0	0	0
138	0	1	1	1	1	1
143	0	1	1	1	1	1
147	0	0	0	0	0	0
149	0	1	0	0	0	0
