TS	ACTIVE	OUT
1	0	0
12504	0	0
12505	0	0
12506	0	0
12507	0	0
12508	0	0
12511	1	0
12512	1	0
12513	1	0
12514	1	0
12515	1	0
12516	1	0
12517	1	1
12518	1	1
12519	1	0
12524	1	1
12527	1	1
12534	1	0
12537	1	1
12544	1	1
12547	0	0
12548	0	0
25050	0	0
25051	0	0
25052	0	0
25053	0	0
25054	0	0
25055	0	0
25058	1	0
25059	1	0
25060	1	0
25061	1	0
25062	1	0
25063	1	0
25064	1	0
25065	1	0
25066	1	0
25067	0	0
37569	0	0
37570	0	0
37571	0	0
37572	0	0
37573	0	0
37574	0	0
37575	0	0
37577	1	0
37578	1	0
37579	1	0
37580	1	0
37581	1	0
37582	1	0
37583	1	1
37584	1	1
37585	1	0
37587	1	1
37588	1	1
37589	0	0
37590	0	0
50092	0	0
50093	0	0
50094	0	0
50095	0	0
50096	0	0
50097	0	0
50098	0	0
50100	1	0
50102	1	0
50103	1	0
50104	1	0
50105	1	0
50106	1	1
50108	0	0
50109	0	0
62611	0	0
62612	0	0
62613	0	0
62614	0	0
62615	0	0
62616	0	0
62617	0	0
62619	1	0
62621	1	0
62622	1	0
62623	1	0
62624	1	0
62625	0	0
62626	0	0
62627	0	0
62628	0	0
75131	0	0
75132	0	0
75133	0	0
75134	0	0
75135	0	0
75136	0	0
75138	1	0
75142	1	0
75143	1	0
75144	1	0
75145	1	0
75146	1	0
75147	1	0
75148	1	0
75151	1	0
75153	1	0
75155	1	0
75156	1	0
75157	1	0
75158	1	0
75159	1	0
75171	1	1
75172	1	1
75173	1	1
75174	1	0
75175	1	1
75176	1	1
75177	1	1
75178	1	0
75179	0	0
87682	0	0
87683	0	0
87684	0	0
87685	0	0
87686	0	0
87689	1	0
87693	1	0
87706	1	0
87707	1	0
87708	1	0
87709	1	0
87710	1	0
87722	1	0
87726	0	0
87728	0	0
87729	0	0
