TS	START	START_WSTB	STEP	STEP_WSTB	WIDTH	WIDTH_WSTB	PNUM	PNUM_WSTB	RELATIVE	RELATIVE_WSTB	DIR	DIR_WSTB	DELTAP	DELTAP_WSTB	USE_TABLE	USE_TABLE_WSTB	TABLE_START	TABLE_START_WSTB	TABLE_LENGTH	TABLE_LENGTH_WSTB
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12503	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12504	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12505	5	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12506	5	0	3	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
12507	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12510	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12511	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12512	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12513	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12514	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12515	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12516	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12517	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12518	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12523	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12526	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12533	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12536	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12543	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12546	5	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25050	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25051	5	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25052	5	0	10	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25053	5	0	10	0	7	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
25054	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25057	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25058	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25059	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25060	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25061	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25062	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25063	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25064	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25065	5	0	10	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
25066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37569	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37570	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37571	5	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37572	5	0	3	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
37573	5	0	3	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
37574	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37576	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37577	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37578	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37579	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37580	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37581	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37582	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37583	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37584	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37586	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37587	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37588	5	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
37589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50092	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50093	5	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50094	5	0	10	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50095	5	0	10	0	7	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
50096	5	0	10	0	7	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0
50097	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50099	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50101	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50102	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50103	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50104	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50105	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50107	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
50108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62611	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62612	5	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62613	5	0	10	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62614	5	0	10	0	7	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
62615	5	0	10	0	7	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0
62616	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62618	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62620	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62621	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62622	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62623	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62624	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62625	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62626	5	0	10	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
62627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75130	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75131	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75132	5	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75133	5	0	4	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
75134	5	0	4	0	3	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0
75135	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75137	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
