TS	FLTR_DIR	ERROR
1	0	0
12504	0	0
12505	0	0
12506	0	0
12507	0	0
12508	0	0
12511	0	0
12512	0	0
12513	0	0
12514	0	0
12515	0	0
12516	0	0
12517	0	0
12518	0	0
12519	0	0
12524	0	0
12527	0	0
12534	0	0
12537	0	0
12544	0	0
12547	0	0
12548	0	0
25050	0	0
25051	0	0
25052	0	0
25053	0	0
25054	0	0
25055	0	0
25058	0	0
25059	0	0
25060	0	0
25061	0	0
25062	0	0
25063	0	0
25064	0	0
25065	0	0
25066	0	0
25067	0	0
37569	0	0
37570	0	0
37571	0	0
37572	0	0
37573	0	0
37574	0	0
37575	0	0
37577	0	0
37578	0	0
37579	0	0
37580	0	0
37581	0	0
37582	0	0
37583	0	0
37584	0	0
37585	0	0
37587	0	0
37588	0	0
37589	0	0
37590	0	0
50092	0	0
50093	0	0
50094	0	0
50095	0	0
50096	0	0
50097	0	0
50098	0	0
50100	0	0
50102	0	0
50103	0	0
50104	0	0
50105	0	0
50106	0	0
50108	0	0
50109	0	0
62611	0	0
62612	0	0
62613	0	0
62614	0	0
62615	0	0
62616	0	0
62617	0	0
62619	0	0
62621	0	0
62622	0	0
62623	0	0
62624	0	0
62625	0	0
62626	0	0
62627	0	0
62628	0	0
75131	0	0
75132	0	0
75133	0	0
75134	0	0
75135	0	0
75138	0	0
75139	0	0
75140	0	0
75141	0	0
75142	0	0
75143	0	0
75144	0	0
75145	0	0
75146	0	0
75147	0	0
75148	0	0
75149	0	0
75152	0	0
75155	0	0
75157	0	0
75161	0	0
75164	0	0
75167	0	0
75172	0	0
75175	0	0
75176	0	0
87679	0	0
87680	0	0
87681	0	0
87682	0	0
87683	0	0
87686	0	0
87687	0	0
87688	0	0
87689	0	0
87690	0	0
87691	0	0
87692	0	0
87693	0	0
87694	0	0
87695	0	0
87696	0	0
87697	0	0
87700	0	0
87701	0	0
87709	0	0
87712	0	0
87715	0	0
87720	0	0
87723	0	0
87724	0	0
100227	0	0
100228	0	0
100229	0	0
100230	0	0
100231	0	0
100234	0	0
100235	0	0
100236	0	0
100237	0	0
100238	0	0
100239	0	0
100240	0	0
100241	0	0
100242	0	0
100245	0	0
100246	0	0
100247	0	0
100250	1	0
100251	1	0
100255	0	0
100259	0	0
100262	0	0
100265	0	0
100270	0	0
100273	0	0
100274	0	0
112777	0	0
112778	0	0
112779	0	0
112780	0	0
112781	0	0
112784	0	0
112785	0	0
112786	0	0
112787	0	0
112788	0	0
112789	0	0
112790	0	0
112791	0	0
112792	0	0
112795	0	0
112796	0	0
112797	0	0
112800	0	0
112801	0	0
112809	0	0
112812	0	0
112815	0	0
112820	0	0
112823	0	0
112824	0	0
125327	0	0
125328	0	0
125329	0	0
125330	0	0
125331	0	0
125334	0	0
125336	0	0
125337	0	0
125338	0	0
125339	0	0
125341	0	0
125342	0	0
125343	0	0
125344	0	0
125345	0	0
125346	0	0
125347	0	0
125348	0	0
125350	0	0
125351	0	0
125352	0	0
125354	0	0
125355	0	0
125357	0	0
125359	0	0
125361	0	0
125362	0	0
137865	0	0
137866	0	0
137867	0	0
137868	0	0
137869	0	0
137872	0	0
137874	0	0
137875	0	0
137876	0	0
137877	0	0
137879	0	0
137880	0	0
137881	0	0
137882	0	0
137883	0	0
137884	0	0
137885	0	0
137886	0	0
137887	0	0
137888	0	0
137889	0	0
137890	0	0
137891	0	0
137892	0	0
150395	0	0
150396	0	0
150397	0	0
150398	0	0
150399	0	0
150402	0	0
150404	0	0
150405	0	0
150406	0	0
150407	0	0
150409	0	0
150410	0	0
150411	0	0
150412	0	0
150413	0	0
150414	0	0
150415	0	0
150416	0	0
150417	0	0
150418	0	0
150419	0	0
150420	0	0
150421	0	0
150422	0	0
162925	0	0
162926	0	0
162927	0	0
162928	0	0
162929	0	0
162932	0	0
162934	0	0
162935	0	0
162936	0	0
162937	0	0
162938	0	0
162939	0	0
162940	0	0
162941	0	0
162942	0	0
162945	0	0
162947	0	0
162949	0	0
162950	0	0
162951	0	0
162952	0	0
162953	0	0
162965	0	0
162966	0	0
162967	0	0
162968	0	0
162969	0	0
162970	0	0
162971	0	0
162972	0	0
162973	0	0
175476	0	0
175477	0	0
175478	0	0
175479	0	0
175480	0	0
175483	0	0
175485	0	0
175486	0	0
175487	0	0
175488	0	0
175489	0	0
175490	0	0
175491	0	0
175492	0	0
175493	0	0
175496	0	0
175498	0	0
175500	0	0
175501	0	0
175502	0	0
175503	0	0
175504	0	0
175516	0	0
175517	0	0
175518	0	0
175519	0	0
175520	0	1
175521	0	1
175522	0	1
175523	0	1
