TS	DELAY	WIDTH	FORCE_RESET
1	0	5	0
2	0	5	0
7	0	5	0
8	0	5	0
12	0	5	0
13	0	0	0
23	0	0	0
24	10	0	0
29	10	0	0
32	10	0	0
39	10	0	0
42	10	0	0
43	0	0	0
53	0	10	0
54	10	10	0
59	10	10	0
60	10	10	0
69	10	10	0
79	10	10	0
80	0	0	0
90	0	0	0
91	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
108	0	5	0
109	10	5	0
121	10	5	0
123	10	5	0
131	10	5	0
135	10	5	0
136	10	5	0
141	10	5	0
146	10	5	0
147	0	0	0
157	0	5	0
158	10	5	0
170	10	5	0
172	10	5	0
176	10	5	0
179	10	5	0
180	10	5	0
183	10	5	0
185	10	5	0
189	10	5	0
193	10	5	0
198	10	5	0
202	10	5	1
203	10	5	0
204	0	0	0
