TS	ERR_OVERFLOW	ERR_PERIOD	QUEUE	MISSED_CNT
1	0	0	0	0
12	0	0	0	0
13	0	0	0	0
18	0	0	1	0
19	0	0	1	0
23	0	0	0	0
23	0	0	0	0
34	0	0	0	0
35	0	0	0	0
40	0	0	1	0
43	0	0	2	0
50	0	0	1	0
53	0	0	0	0
53	0	0	0	0
64	0	0	0	0
65	0	0	0	0
70	0	0	2	0
71	0	0	2	0
80	0	0	1	0
90	0	0	0	0
90	0	0	0	0
101	0	0	0	0
102	0	0	0	0
107	0	0	0	0
108	0	0	0	0
108	0	0	0	0
119	0	0	0	0
120	0	0	0	0
132	0	0	2	0
134	0	0	2	0
141	0	0	4	0
142	0	0	3	0
146	0	0	3	0
147	0	0	2	0
151	0	0	1	0
156	0	0	0	0
156	0	0	0	0
167	0	0	0	0
168	0	0	0	0
180	0	0	2	0
182	0	0	2	0
186	0	1	2	1
189	0	1	2	1
190	0	1	1	1
193	0	1	3	1
195	0	1	2	1
199	0	1	2	1
203	0	1	1	1
208	0	1	0	1
212	0	0	0	0
213	0	0	0	0
