TS	PRESCALE	PRESCALE_WSTB	SOFT_GATE	SOFT_GATE_WSTB	TABLE_CYCLE	TABLE_CYCLE_WSTB	TABLE_START	TABLE_START_WSTB	TABLE_DATA	TABLE_DATA_WSTB	TABLE_LENGTH	TABLE_LENGTH_WSTB
0	0	0	0	0	0	0	0	0	0	0	0	0
12503	0	0	0	0	2	1	0	0	0	0	0	0
12504	2	1	0	0	2	0	0	0	0	0	0	0
12505	2	0	0	0	2	0	0	1	0	0	0	0
12506	2	0	0	0	2	0	0	0	0	0	0	0
12508	2	0	0	0	2	0	0	0	2	1	0	0
12509	2	0	0	0	2	0	0	0	520566784	1	0	0
12510	2	0	0	0	2	0	0	0	2	1	0	0
12511	2	0	0	0	2	0	0	0	1	1	0	0
12512	2	0	0	0	2	0	0	0	1	0	0	0
12516	2	0	0	0	2	0	0	0	2	1	0	0
12517	2	0	0	0	2	0	0	0	571224832	1	0	0
12518	2	0	0	0	2	0	0	0	4	1	0	0
12519	2	0	0	0	2	0	0	0	4	1	0	0
12520	2	0	0	0	2	0	0	0	4	0	0	0
12526	2	0	0	0	2	0	0	0	4	0	2	1
12527	2	0	0	0	2	0	0	0	4	0	2	0
12530	2	0	0	0	2	0	0	0	4	0	2	0
12535	2	0	0	0	2	0	0	0	4	0	2	0
12539	2	0	0	0	2	0	0	0	4	0	2	0
12541	2	0	0	0	2	0	0	0	4	0	2	0
12545	2	0	0	0	2	0	0	0	4	0	2	0
12555	2	0	0	0	2	0	0	0	4	0	2	0
12563	2	0	0	0	2	0	0	0	4	0	2	0
12571	2	0	0	0	2	0	0	0	4	0	2	0
12579	2	0	0	0	2	0	0	0	4	0	2	0
12587	2	0	0	0	2	0	0	0	4	0	2	0
12591	2	0	0	0	2	0	0	0	4	0	2	0
12593	2	0	0	0	2	0	0	0	4	0	2	0
12597	2	0	0	0	2	0	0	0	4	0	2	0
12600	2	0	0	0	2	0	0	0	4	0	2	0
12608	2	0	0	0	2	0	0	0	4	0	2	0
12616	2	0	0	0	2	0	0	0	4	0	2	0
12624	2	0	0	0	2	0	0	0	4	0	2	0
12632	2	0	0	0	2	0	0	0	4	0	2	0
12633	0	0	0	0	0	0	0	0	0	0	0	0
25134	0	0	0	0	1	1	0	0	0	0	0	0
25135	2	1	0	0	1	0	0	0	0	0	0	0
25136	2	0	0	0	1	0	0	1	0	0	0	0
25137	2	0	0	0	1	0	0	0	0	0	0	0
25138	2	0	0	0	1	0	0	0	1	1	0	0
25139	2	0	0	0	1	0	0	0	1	0	0	0
25140	2	0	0	0	1	0	0	0	4278271744	1	0	0
25141	2	0	0	0	1	0	0	0	2	1	0	0
25142	2	0	0	0	1	0	0	0	1	1	0	0
25143	2	0	0	0	1	0	0	0	1	0	0	0
25144	2	0	0	0	1	0	0	0	1	0	1	1
25145	2	0	0	0	1	0	0	0	1	0	1	0
25150	2	0	0	0	1	0	0	0	1	0	1	0
25157	2	0	0	0	1	0	0	0	1	0	1	0
25161	2	0	0	0	1	0	0	0	1	0	1	0
25163	2	0	0	0	1	0	0	0	1	0	1	0
25164	0	0	0	0	0	0	0	0	0	0	0	0
37665	0	0	0	0	1	1	0	0	0	0	0	0
37666	2	1	0	0	1	0	0	0	0	0	0	0
37667	2	0	0	0	1	0	0	1	0	0	0	0
37668	2	0	0	0	1	0	0	0	0	0	0	0
37669	2	0	0	0	1	0	0	0	1	1	0	0
37670	2	0	0	0	1	0	0	0	4278271744	1	0	0
37671	2	0	0	0	1	0	0	0	2	1	0	0
37672	2	0	0	0	1	0	0	0	1	1	0	0
37673	2	0	0	0	1	0	0	0	1	0	1	1
37674	2	0	0	0	1	0	0	0	1	0	1	0
37679	2	0	0	0	1	0	0	0	1	0	1	0
37689	2	0	0	0	1	0	0	0	1	0	1	0
37693	2	0	0	0	1	0	0	0	1	0	1	0
37695	2	0	0	0	1	0	0	0	1	0	1	0
37701	2	0	0	0	1	0	0	0	1	0	1	0
37702	2	0	0	0	1	0	0	0	1	0	1	0
37704	2	0	0	0	1	0	0	0	1	0	1	0
37705	0	0	0	0	0	0	0	0	0	0	0	0
50207	2	1	0	0	0	0	0	0	0	0	0	0
50208	2	0	0	0	2	1	0	0	0	0	0	0
50209	2	0	0	0	2	0	0	1	0	0	0	0
50210	2	0	0	0	2	0	0	0	0	0	0	0
50211	2	0	0	0	2	0	0	0	2	1	0	0
50212	2	0	0	0	2	0	0	0	4278271744	1	0	0
50213	2	0	0	0	2	0	0	0	2	1	0	0
50214	2	0	0	0	2	0	0	0	1	1	0	0
50215	2	0	0	0	2	0	0	0	1	0	1	1
50216	2	0	0	0	2	0	0	0	1	0	1	0
50221	2	0	0	0	2	0	0	0	1	0	1	0
50230	2	0	0	0	2	0	0	0	1	0	1	0
50234	2	0	0	0	2	0	0	0	1	0	1	0
50236	2	0	0	0	2	0	0	0	1	0	1	0
50240	2	0	0	0	2	0	0	0	1	0	1	0
50242	2	0	0	0	2	0	0	0	1	0	1	0
50246	2	0	0	0	2	0	0	0	1	0	1	0
50248	2	0	0	0	2	0	0	0	1	0	1	0
50252	2	0	0	0	2	0	0	0	1	0	1	0
50254	2	0	0	0	2	0	0	0	1	0	1	0
50255	0	0	0	0	0	0	0	0	0	0	0	0
62757	2	1	0	0	0	0	0	0	0	0	0	0
62758	2	0	0	0	2	1	0	0	0	0	0	0
62759	2	0	0	0	2	0	0	1	0	0	0	0
62760	2	0	0	0	2	0	0	0	0	0	0	0
62761	2	0	0	0	2	0	0	0	1	1	0	0
62762	2	0	0	0	2	0	0	0	520566784	1	0	0
62763	2	0	0	0	2	0	0	0	2	1	0	0
62764	2	0	0	0	2	0	0	0	1	1	0	0
62765	2	0	0	0	2	0	0	0	1	0	0	0
62766	2	0	0	0	2	0	0	0	1	0	1	1
62767	2	0	0	0	2	0	0	0	1	0	1	0
62771	2	0	0	0	2	0	0	0	1	0	1	0
62780	2	0	0	0	2	0	0	0	1	0	1	0
62784	2	0	0	0	2	0	0	0	1	0	1	0
62791	2	0	0	0	2	0	0	0	1	0	1	0
63791	2	0	0	0	2	0	0	0	1	0	1	0
63795	2	0	0	0	2	0	0	0	1	0	1	0
63797	2	0	0	0	2	0	0	0	1	0	1	0
63801	2	0	0	0	2	0	0	0	1	0	1	0
63803	2	0	0	0	2	0	0	0	1	0	1	0
63804	0	0	0	0	0	0	0	0	0	0	0	0
76305	0	0	0	0	1	1	0	0	0	0	0	0
76306	2	1	0	0	1	0	0	0	0	0	0	0
76307	2	0	0	0	1	0	0	1	0	0	0	0
76308	2	0	0	0	1	0	0	0	0	0	0	0
76309	2	0	0	0	1	0	0	0	2	1	0	0
76310	2	0	0	0	1	0	0	0	520566784	1	0	0
76311	2	0	0	0	1	0	0	0	2	1	0	0
76312	2	0	0	0	1	0	0	0	1	1	0	0
76313	2	0	0	0	1	0	0	0	1	0	0	0
76317	2	0	0	0	1	0	0	0	2	1	0	0
76318	2	0	0	0	1	0	0	0	4265542144	1	0	0
76319	2	0	0	0	1	0	0	0	3	1	0	0
76320	2	0	0	0	1	0	0	0	2	1	0	0
76321	2	0	0	0	1	0	0	0	2	0	0	0
76322	2	0	0	0	1	0	0	0	2	0	2	1
76323	2	0	0	0	1	0	0	0	2	0	2	0
76327	2	0	0	0	1	0	0	0	2	0	2	0
76330	2	0	0	0	1	0	0	0	2	0	2	0
76334	2	0	0	0	1	0	0	0	2	0	2	0
76336	2	0	0	0	1	0	0	0	2	0	2	0
76340	2	0	0	0	1	0	0	0	2	0	2	0
76342	2	0	0	0	1	0	0	1	2	0	2	0
76343	2	0	0	0	1	0	0	0	2	0	2	0
76344	2	0	0	0	1	0	0	0	2	0	2	0
76345	2	0	0	0	1	0	0	0	1	1	2	0
76346	2	0	0	0	1	0	0	0	285476864	1	2	0
