TS	SIM_RESET	SET	RESET
0	1	0	0
11	0	0	0
15	0	1	0
17	0	0	0
18	0	0	0
19	0	0	0
19	1	0	0
30	0	0	0
34	0	1	0
35	0	0	0
37	0	0	0
38	0	0	0
38	1	0	0
49	0	0	0
51	0	1	0
52	0	0	0
54	0	0	0
55	0	0	0
56	0	1	0
58	0	0	0
61	0	0	0
62	0	0	0
62	1	0	0
73	0	0	0
74	0	0	0
75	0	1	0
77	0	1	1
78	0	1	0
79	0	1	0
80	0	1	0
80	1	0	0
91	0	0	0
92	0	0	0
93	0	1	0
95	0	1	1
96	0	1	0
96	1	0	0
107	0	0	0
108	0	0	0
111	0	1	1
112	0	0	1
113	0	0	0
116	0	1	0
117	0	0	0
121	0	1	0
124	0	1	1
125	0	1	0
126	0	1	0
127	0	1	0
127	1	0	0
138	0	0	0
140	0	1	0
142	0	1	0
143	0	1	0
145	0	0	0
146	0	0	0
147	0	0	0
147	1	0	0
158	0	0	0
159	0	1	0
161	0	1	1
162	0	0	1
165	0	0	0
