TS	SET_EDGE	RESET_EDGE	FORCE_SET	FORCE_RESET
1	1	0	0	0
5	1	0	0	0
7	1	0	0	0
8	1	0	0	1
9	1	0	0	0
10	0	0	0	0
20	0	0	0	0
24	0	0	0	0
25	0	0	0	0
27	0	0	0	1
28	0	0	0	0
29	0	0	0	0
39	1	0	0	0
41	0	0	0	0
42	0	0	0	0
44	0	0	0	1
45	0	0	0	0
46	0	0	0	0
48	0	0	0	0
51	0	0	0	1
52	0	0	0	0
53	0	0	0	0
63	0	1	0	0
64	1	1	0	0
65	1	1	0	0
67	1	1	0	0
68	1	1	0	0
69	0	0	0	0
79	0	0	0	0
80	1	0	0	0
81	1	0	0	0
83	1	0	0	0
84	1	0	0	0
85	0	0	0	0
95	0	1	0	0
96	1	1	0	0
99	1	1	0	0
100	1	1	0	0
101	1	1	0	0
104	1	1	0	1
105	1	1	0	0
106	1	1	0	1
107	1	1	0	0
109	1	1	1	0
110	1	1	0	0
112	1	1	0	1
113	1	1	0	0
114	0	0	0	0
